                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4669,                 4.2638,                 3.6922,                 1.4714,                0.00947,                 0.4483,                0.23038,                0.12648,                0.01011,                 0.4493,                0.17034,                0.06434,                 1.2556,                 2.4266,                 3.7864,                 1.3956,              8.888e-05,              8.888e-05,              8.888e-05
                      2,                 1.0101,                  2.339,                 3.0538,                 1.1777,                0.01411,                  0.441,                0.32457,                0.22178,                0.01524,                0.46105,                0.29031,                0.13757,                0.87076,                 1.9497,                 3.6053,                 1.0928,             0.00017952,             0.00017952,             0.00017952
                      3,                0.96421,                 1.7567,                 2.1115,                 1.1619,                0.02599,                0.59137,                0.51051,                0.40649,                0.02328,                0.53728,                0.42596,                0.29366,                0.98933,                 2.0128,                 3.3602,                 1.1823,             0.00026026,             0.00026026,             0.00026026
                      4,                0.93663,                 1.5562,                 1.6105,                 1.1956,                0.06911,                0.57517,                0.49285,                0.34293,                0.03773,                0.45928,                0.39673,                0.27317,                 1.0975,                 2.3392,                 3.3318,                  1.264,             0.00033111,             0.00033111,             0.00033111
                      5,                0.90908,                 1.4503,                 1.2726,                 1.1586,                0.96266,                0.27089,                0.69746,                0.49044,                0.93495,                0.25609,                0.65173,                0.43142,                0.98285,                 1.5971,                 2.8856,                 1.1999,             0.00039205,             0.00039205,             0.00039205
                      6,                0.88649,                 1.3273,                   1.06,                 1.1308,                0.87037,                0.37434,                0.76322,                0.48897,                0.85739,                0.35681,                 0.7367,                0.46875,                 1.0369,                 1.5061,                 2.6465,                 1.2101,             0.00044309,             0.00044309,             0.00044309
                      7,                0.85017,                 1.3317,                0.99123,                 1.0961,                0.76608,                0.44695,                 0.8401,                0.59644,                0.74097,                0.43779,                0.82348,                0.56704,                 1.0049,                 1.2963,                 2.3003,                 1.1553,             0.00048424,             0.00048424,             0.00048424
                      8,                0.82548,                 1.2748,                0.96236,                 1.0843,                0.86753,                0.53799,                0.86369,                0.62589,                0.82333,                0.52465,                0.84735,                0.58775,                0.95491,                 1.2473,                 2.0427,                 1.0956,             0.00051549,             0.00051549,             0.00051549
                      9,                 0.8289,                 1.3292,                0.96574,                 1.0837,                 0.9039,                0.72182,                0.90809,                0.69414,                 0.9019,                0.72071,                0.90417,                0.64365,                0.89507,                 1.2614,                 1.6819,                 1.0416,             0.00053684,             0.00053684,             0.00053684
                     10,                0.78434,                 1.1642,                0.87848,                 1.0518,                0.87597,                0.77778,                0.92233,                0.72118,                0.88114,                 0.7793,                0.92295,                0.67163,                0.86432,                 1.1111,                 1.4383,                 1.0434,             0.00054828,             0.00054828,             0.00054828
                     11,                0.81036,                 1.1908,                 1.1754,                 1.0864,                  0.883,                0.76336,                0.91955,                0.71117,                0.89042,                0.76896,                0.91688,                0.70106,                0.88552,                 1.0873,                 1.5037,                 1.0665,             0.00054983,             0.00054983,             0.00054983
                     12,                0.78814,                  1.138,                 1.0481,                 1.0604,                0.83488,                0.76637,                0.91299,                0.72289,                0.84364,                0.76877,                0.91366,                0.71308,                0.81998,                 1.0157,                 1.3418,                0.97396,             0.00050606,             0.00050606,             0.00050606
                     13,                 0.7727,                 1.1447,                0.97268,                 1.0322,                0.84848,                0.80782,                0.92128,                0.74345,                0.84365,                0.80991,                 0.9212,                0.71902,                0.79813,                0.99952,                 1.1843,                0.98219,             0.00045107,             0.00045107,             0.00045107
                     14,                0.74987,                 1.1117,                 0.8975,                  1.012,                0.92017,                0.82147,                0.93211,                0.75383,                0.91787,                0.81971,                0.93227,                0.72634,                0.77949,                 1.0231,                0.99455,                0.94802,             0.00039607,             0.00039607,             0.00039607
                     15,                0.73482,                 1.1002,                0.89267,                 1.0001,                0.92035,                0.85576,                 0.9357,                0.75669,                0.92275,                 0.8575,                0.93696,                0.73245,                0.77138,                0.99204,                 0.8967,                0.94186,             0.00034108,             0.00034108,             0.00034108
                     16,                0.69603,                  1.003,                0.85214,                0.99209,                0.94533,                0.87266,                0.94419,                0.76258,                  0.941,                0.87446,                0.94062,                0.72475,                0.74217,                 1.0456,                0.88797,                0.94218,             0.00028608,             0.00028608,             0.00028608
                     17,                0.70063,                 1.0208,                0.83254,                0.98719,                0.94066,                0.88316,                 0.9446,                0.77107,                0.94438,                0.88387,                0.94233,                0.74327,                0.71369,                 0.9687,                0.79527,                0.92428,             0.00023109,             0.00023109,             0.00023109
                     18,                 0.6801,                 1.0034,                0.81009,                0.97449,                0.92539,                0.90188,                0.94332,                0.77664,                0.92729,                0.90359,                0.94258,                0.74649,                0.71381,                0.96209,                0.73679,                0.92523,             0.00017609,             0.00017609,             0.00017609
                     19,                0.66185,                0.98301,                0.79408,                0.96272,                 0.9282,                0.91303,                0.94751,                0.77988,                0.93027,                0.91106,                0.94411,                0.74867,                0.71115,                0.94047,                0.70498,                0.91831,              0.0001211,              0.0001211,              0.0001211
                     20,                0.66092,                 0.9648,                0.79259,                0.96581,                0.93059,                0.91407,                0.94908,                0.78185,                0.93176,                0.91591,                0.95095,                 0.7512,                0.69651,                 0.9232,                0.67662,                0.90911,             6.6105e-05,             6.6105e-05,             6.6105e-05
